"","RI_pdi_c","RI_idv_c","RI_lto_c","RI_ivr_c","RI_mas_c","RI_uai_c"
"model_name","RI_pdi_c","RI_idv_c","RI_lto_c","RI_ivr_c","RI_mas_c","RI_uai_c"
"dv","outcome","outcome","outcome","outcome","outcome","outcome"
"cul","pdi_c","idv_c","lto_c","ivr_c","mas_c","uai_c"
"intercept","-0.0699","-0.0859","-0.0962","-0.0613","-0.0664","-0.1040"
"intercept_se","0.1032","0.0992","0.1021","0.1063","0.0958","0.0922"
"intercept_t","-0.6779","-0.8663","-0.9425","-0.5764","-0.6935","-1.1288"
"intercept_sig"," "," "," "," "," "," "
"culc"," 0.0053","-0.0037","-0.0025","-0.0059","-0.0026","-0.0025"
"culc_se","0.0056","0.0044","0.0051","0.0058","0.0054","0.0053"
"culc_t"," 0.9561","-0.8361","-0.4991","-1.0175","-0.4779","-0.4780"
"culc_sig"," "," "," "," "," "," "
"agility2cj","0.3804","0.3847","0.3865","0.3751","0.3836","0.3660"
"agility2cj_se","0.0744","0.0751","0.0731","0.0796","0.0718","0.0743"
"agility2cj_t","5.1131","5.1228","5.2850","4.7151","5.3400","4.9283"
"agility2cj_sig","***","***","***","***","***","***"
"firmsizestd","-0.0871","-0.0957","-0.0845","-0.0781","-0.0507","-0.0660"
"firmsizestd_se","0.1087","0.1105","0.1091","0.1082","0.1075","0.1102"
"firmsizestd_t","-0.8009","-0.8661","-0.7738","-0.7220","-0.4721","-0.5987"
"firmsizestd_sig"," "," "," "," "," "," "
"gmci2016c","-0.0706","-0.0570","-0.0631","-0.0593","-0.0414","-0.0296"
"gmci2016c_se","0.0485","0.0528","0.0553","0.0518","0.0562","0.0541"
"gmci2016c_t","-1.4552","-1.0795","-1.1416","-1.1449","-0.7359","-0.5470"
"gmci2016c_sig"," "," "," "," "," "," "
"firmsize_sq","0.0081","0.0086","0.0075","0.0073","0.0047","0.0059"
"firmsize_sq_se","0.0111","0.0112","0.0111","0.0111","0.0110","0.0112"
"firmsize_sq_t","0.7322","0.7701","0.6692","0.6621","0.4280","0.5228"
"firmsize_sq_sig"," "," "," "," "," "," "
"agility_culc_int"," 0.0009","-0.0015"," 0.0032"," 0.0000"," 0.0059"," 0.0021"
"agility_culc_int_se","0.0034","0.0032","0.0032","0.0042","0.0025","0.0030"
"agility_culc_int_t"," 0.2753","-0.4594"," 0.9846"," 0.0080"," 2.3236"," 0.7191"
"agility_culc_int_sig"," "," "," "," ","*"," "
"var_firm","0.7723728","0.7729078","0.7686943","0.7725249","0.7547776","0.7713594"
"var_intercept","0.04788576","0.05554164","0.04902656","0.05458828","0.04334223","0.03792918"
"var_culc","0.00010101247","0.00005052231","0.00009957714","0.00012459884","0.00009094323","0.00009751027"
"cov_int_culc"," 0.0005825490","-0.0003272981"," 0.0014216979","-0.0012794813"," 0.0010211783"," 0.0004804359"
"deviance","659.0755","659.4243","657.7523","659.1689","653.6079","658.8280"
"para_count","11","11","11","11","11","11"
"sigularity","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"convWarning","0","0","0","0","0","0"
"aic","681.0755","681.4243","679.7523","681.1689","675.6079","680.8280"
"bic","719.8116","720.1603","718.4884","719.9050","714.3439","719.5641"
"group_count","15","15","15","15","15","15"
"firm_count","250","250","250","250","250","250"
