"","RI_pdi_c","RI_idv_c","RI_lto_c","RI_ivr_c","RI_mas_c","RI_uai_c"
"model_name","RI_pdi_c","RI_idv_c","RI_lto_c","RI_ivr_c","RI_mas_c","RI_uai_c"
"dv","agility2","agility2","agility2","agility2","agility2","agility2"
"cul","pdi_c","idv_c","lto_c","ivr_c","mas_c","uai_c"
"intercept","-0.3293","-0.2956","-0.0957","-0.1797","-0.0684","-0.1155"
"intercept_se","0.0971","0.1081","0.1395","0.1294","0.1441","0.1362"
"intercept_t","-3.3927","-2.7336","-0.6862","-1.3896","-0.4749","-0.8481"
"intercept_sig","**","*"," "," "," "," "
"firmsizestd","0.3430","0.3356","0.3334","0.3432","0.3384","0.3401"
"firmsizestd_se","0.0885","0.0885","0.0886","0.0885","0.0885","0.0886"
"firmsizestd_t","3.8766","3.7943","3.7639","3.8765","3.8236","3.8411"
"firmsizestd_sig","***","***","***","***","***","***"
"network2xcj","0.2046","0.2054","0.2046","0.2030","0.2035","0.2034"
"network2xcj_se","0.079","0.079","0.079","0.079","0.079","0.079"
"network2xcj_t","2.5885","2.6001","2.5890","2.5685","2.5751","2.5733"
"network2xcj_sig","*","*","*","*","*","*"
"gmci2016c","0.0520","0.0798","0.0906","0.0442","0.0641","0.0721"
"gmci2016c_se","0.0534","0.0622","0.0785","0.0742","0.0758","0.0730"
"gmci2016c_t","0.9734","1.2839","1.1538","0.5955","0.8453","0.9879"
"gmci2016c_sig"," "," "," "," "," "," "
"firmsize_sq","-0.0234","-0.0227","-0.0224","-0.0233","-0.0228","-0.0230"
"firmsize_sq_se","0.0088","0.0088","0.0088","0.0088","0.0088","0.0088"
"firmsize_sq_t","-2.6448","-2.5730","-2.5350","-2.6334","-2.5837","-2.5986"
"firmsize_sq_sig","*","*","*","*","*","*"
"var_firm","0.6834938","0.6827146","0.6829742","0.6834384","0.6830892","0.6832699"
"var_intercept","0.2707719","0.2504282","0.1588213","0.2256146","0.2553234","0.2111955"
"var_culc","0.0005701290","0.0003656467","0.0002160422","0.0003023524","0.0001312448","0.0001411460"
"cov_int_culc"," 0.0113753340","-0.0087889149","-0.0008529948","-0.0053043740"," 0.0040940820","-0.0031468471"
"deviance","1456.070","1456.795","1460.301","1459.073","1460.202","1459.813"
"para_count","9","9","9","9","9","9"
"sigularity","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"convWarning","0","0","0","0","0","0"
"aic","1474.070","1474.795","1478.301","1477.073","1478.202","1477.813"
"bic","1513.321","1514.047","1517.552","1516.325","1517.454","1517.065"
"group_count","15","15","15","15","15","15"
"firm_count","579","579","579","579","579","579"
