"","o.RI_pdi_c","o.RI_idv_c","o.RI_lto_c","o.RI_ivr_c","o.RI_mas_c","o.RI_uai_c"
"model_name","o.RI_pdi_c","o.RI_idv_c","o.RI_lto_c","o.RI_ivr_c","o.RI_mas_c","o.RI_uai_c"
"dv","outcome","outcome","outcome","outcome","outcome","outcome"
"cul","pdi_c","idv_c","lto_c","ivr_c","mas_c","uai_c"
"intercept","-0.1162","-0.0850"," 0.0185","-0.1052"," 0.0466","-0.0510"
"intercept_se","0.0951","0.0914","0.0933","0.0953","0.0867","0.0865"
"intercept_t","-1.2223","-0.9298"," 0.1979","-1.1031"," 0.5381","-0.5891"
"intercept_sig"," "," "," "," "," "," "
"agility2cj","0.3979","0.3980","0.3983","0.3978","0.3986","0.3984"
"agility2cj_se","0.0457","0.0457","0.0456","0.0457","0.0456","0.0457"
"agility2cj_t","8.7107","8.7142","8.7293","8.7091","8.7340","8.7232"
"agility2cj_sig","***","***","***","***","***","***"
"network2xcj","-0.1051","-0.1051","-0.1072","-0.1070","-0.1068","-0.1058"
"network2xcj_se","0.0851","0.0851","0.0850","0.0851","0.0850","0.0851"
"network2xcj_t","-1.2356","-1.2352","-1.2608","-1.2575","-1.2570","-1.2432"
"network2xcj_sig"," "," "," "," "," "," "
"agility_network_int","0.0158","0.0159","0.0231","0.0185","0.0236","0.0166"
"agility_network_int_se","0.1055","0.1055","0.1053","0.1056","0.1053","0.1056"
"agility_network_int_t","0.1501","0.1504","0.2195","0.1749","0.2241","0.1570"
"agility_network_int_sig"," "," "," "," "," "," "
"firmsizestd","-0.0620","-0.0622","-0.0614","-0.0583","-0.0638","-0.0640"
"firmsizestd_se","0.0960","0.0961","0.0956","0.0959","0.0954","0.0958"
"firmsizestd_t","-0.6456","-0.6475","-0.6419","-0.6078","-0.6684","-0.6680"
"firmsizestd_sig"," "," "," "," "," "," "
"gmci2016c","-0.0562","-0.0445","-0.0563","-0.0527","-0.0406","-0.0085"
"gmci2016c_se","0.0515","0.0504","0.0542","0.0551","0.0474","0.0495"
"gmci2016c_t","-1.0904","-0.8826","-1.0386","-0.9579","-0.8569","-0.1716"
"gmci2016c_sig"," "," "," "," "," "," "
"firmsize_sq","0.0057","0.0056","0.0056","0.0054","0.0058","0.0057"
"firmsize_sq_se","0.0095","0.0095","0.0095","0.0095","0.0095","0.0095"
"firmsize_sq_t","0.5993","0.5915","0.5870","0.5634","0.6082","0.5986"
"firmsize_sq_sig"," "," "," "," "," "," "
"var_firm","0.7780572","0.7778736","0.7764666","0.7780369","0.7766619","0.7778094"
"var_intercept","0.13938158","0.11695862","0.06245969","0.12214052","0.03992874","0.03718663"
"var_culc","0.0002739487","0.0001039861","0.0001751115","0.0002359980","0.0001904544","0.0001694053"
"cov_int_culc"," 0.004937329","-0.002885830"," 0.002656465","-0.004302309"," 0.001665558"," 0.000463444"
"deviance","1525.131","1523.023","1519.934","1523.849","1520.747","1521.467"
"para_count","11","11","11","11","11","11"
"sigularity","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"convWarning","0","0","0","0","0","0"
"aic","1547.131","1545.023","1541.934","1545.849","1542.747","1543.467"
"bic","1595.105","1592.997","1589.908","1593.823","1590.722","1591.441"
"group_count","15","15","15","15","15","15"
"firm_count","579","579","579","579","579","579"
