"","RI_pdi_c","RI_idv_c","RI_lto_c","RI_ivr_c","RI_mas_c","RI_uai_c"
"model_name","RI_pdi_c","RI_idv_c","RI_lto_c","RI_ivr_c","RI_mas_c","RI_uai_c"
"dv","outcome","outcome","outcome","outcome","outcome","outcome"
"cul","pdi_c","idv_c","lto_c","ivr_c","mas_c","uai_c"
"intercept","-0.0152","-0.0036"," 0.0342","-0.0137"," 0.1328"," 0.0176"
"intercept_se","0.1712","0.1670","0.1394","0.1801","0.1147","0.1084"
"intercept_t","-0.0890","-0.0215"," 0.2453","-0.0763"," 1.1573"," 0.1628"
"intercept_sig"," "," "," "," "," "," "
"culc"," 0.0067","-0.0027","-0.0106","-0.0034","-0.0084","-0.0109"
"culc_se","0.0090","0.0061","0.0066","0.0086","0.0080","0.0068"
"culc_t"," 0.7456","-0.4356","-1.6109","-0.3947","-1.0536","-1.6009"
"culc_sig"," "," "," "," "," "," "
"agility2cj","0.3728","0.4119","0.4163","0.3790","0.4328","0.4010"
"agility2cj_se","0.0612","0.0592","0.0574","0.0628","0.0597","0.0583"
"agility2cj_t","6.0931","6.9603","7.2515","6.0392","7.2532","6.8786"
"agility2cj_sig","***","***","***","***","***","***"
"firmsizestd","0.0976","0.1518","0.2474","0.1281","0.1733","0.1272"
"firmsizestd_se","0.2151","0.2163","0.2125","0.2156","0.2139","0.2143"
"firmsizestd_t","0.4535","0.7014","1.1646","0.5943","0.8099","0.5937"
"firmsizestd_sig"," "," "," "," "," "," "
"gmci2016c","-0.0805","-0.0379","-0.0140","-0.0566"," 0.0077","-0.0411"
"gmci2016c_se","0.0651","0.0673","0.0730","0.0664","0.0670","0.0604"
"gmci2016c_t","-1.2360","-0.5629","-0.1922","-0.8520"," 0.1148","-0.6800"
"gmci2016c_sig"," "," "," "," "," "," "
"firmsize_sq","-0.0087","-0.0113","-0.0169","-0.0106","-0.0132","-0.0113"
"firmsize_sq_se","0.0197","0.0198","0.0195","0.0198","0.0197","0.0197"
"firmsize_sq_t","-0.4405","-0.5733","-0.8677","-0.5363","-0.6683","-0.5734"
"firmsize_sq_sig"," "," "," "," "," "," "
"agility_culc_int"," 0.0064"," 0.0014","-0.0098","-0.0045","-0.0052","-0.0046"
"agility_culc_int_se","0.0035","0.0029","0.0028","0.0038","0.0027","0.0024"
"agility_culc_int_t"," 1.8314"," 0.4822","-3.5109","-1.1820","-1.8931","-1.8800"
"agility_culc_int_sig","+"," ","**"," ","+","+"
"var_firm","0.7570057","0.7616712","0.7335599","0.7591691","0.7538154","0.7529345"
"var_intercept","0.18647311","0.14715629","0.06270923","0.18245905","0.04409825","0.03080550"
"var_culc","0.0002859418","0.0001749350","0.0002249354","0.0003476945","0.0002468137","0.0001762756"
"cov_int_culc"," 0.0061972038","-0.0044815455"," 0.0023822372","-0.0072189229"," 0.0008245822"," 0.0013230158"
"deviance","862.6049","863.9232","850.2708","862.9234","858.9697","855.4317"
"para_count","11","11","11","11","11","11"
"sigularity","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"convWarning","0","0","0","0","0","0"
"aic","884.6049","885.9232","872.2708","884.9234","880.9697","877.4317"
"bic","926.3615","927.6799","914.0275","926.6801","922.7263","919.1883"
"group_count","14","14","14","14","14","14"
"firm_count","329","329","329","329","329","329"
