"","RI_guaip_c","RI_gfuop_c","RI_gpdip_c","RI_ginscolp_c","RI_ghump_c","RI_gpefp_c","RI_gigrcolp_c","RI_ggndp_c","RI_gassp_c"
"model_name","RI_guaip_c","RI_gfuop_c","RI_gpdip_c","RI_ginscolp_c","RI_ghump_c","RI_gpefp_c","RI_gigrcolp_c","RI_ggndp_c","RI_gassp_c"
"dv","outcome","outcome","outcome","outcome","outcome","outcome","outcome","outcome","outcome"
"cul","guaip_c","gfuop_c","gpdip_c","ginscolp_c","ghump_c","gpefp_c","gigrcolp_c","ggndp_c","gassp_c"
"intercept","-0.1096","-0.0552","-0.0670","-0.1037","-0.0983","-0.0883","-0.0505","-0.1092","-0.0412"
"intercept_se","0.0935","0.0893","0.0959","0.0951","0.1010","0.0863","0.0977","0.1011","0.1044"
"intercept_t","-1.1727","-0.6185","-0.6984","-1.0904","-0.9732","-1.0238","-0.5171","-1.0799","-0.3945"
"intercept_sig"," "," "," "," "," "," "," "," "," "
"culc"," 0.0932","-0.3863"," 0.3255","-0.0352"," 0.0422","-0.5042"," 0.1566"," 0.2878","-0.2206"
"culc_se","0.2052","0.2466","0.3487","0.2606","0.2907","0.3048","0.1246","0.3909","0.2797"
"culc_t"," 0.4544","-1.5665"," 0.9334","-0.1349"," 0.1451","-1.6544"," 1.2570"," 0.7363","-0.7888"
"culc_sig"," "," "," "," "," "," "," "," "," "
"agility2cj","0.3805","0.3589","0.3791","0.3783","0.4133","0.3837","0.3718","0.3768","0.3945"
"agility2cj_se","0.0727","0.0730","0.0739","0.0721","0.0738","0.0728","0.0793","0.0777","0.0738"
"agility2cj_t","5.2304","4.9196","5.1289","5.2455","5.6022","5.2730","4.6863","4.8471","5.3449"
"agility2cj_sig","***","***","***","***","***","***","***","***","***"
"firmsizestd","-0.0691","-0.0917","-0.0757","-0.1002","-0.1008","-0.0843","-0.0880","-0.0875","-0.1010"
"firmsizestd_se","0.1094","0.1074","0.1092","0.1079","0.1079","0.1080","0.1088","0.1091","0.1084"
"firmsizestd_t","-0.6323","-0.8539","-0.6934","-0.9279","-0.9342","-0.7801","-0.8093","-0.8022","-0.9315"
"firmsizestd_sig"," "," "," "," "," "," "," "," "," "
"gmci2016c","-0.0679","-0.0399","-0.0396","-0.0301","-0.0725","-0.0025","-0.0638","-0.0501","-0.0409"
"gmci2016c_se","0.0512","0.0464","0.0521","0.0525","0.0537","0.0581","0.0485","0.0515","0.0511"
"gmci2016c_t","-1.3267","-0.8588","-0.7585","-0.5721","-1.3517","-0.0431","-1.3162","-0.9727","-0.8004"
"gmci2016c_sig"," "," "," "," "," "," "," "," "," "
"firmsize_sq","0.0067","0.0085","0.0069","0.0089","0.0093","0.0078","0.0082","0.0079","0.0090"
"firmsize_sq_se","0.0112","0.0110","0.0112","0.0111","0.0110","0.0111","0.0111","0.0111","0.0111"
"firmsize_sq_t","0.5972","0.7673","0.6210","0.8098","0.8399","0.7041","0.7334","0.7125","0.8139"
"firmsize_sq_sig"," "," "," "," "," "," "," "," "," "
"agility_culc_int","-0.0698"," 0.2592"," 0.0315"," 0.2667"," 0.3647"," 0.2832","-0.0147"," 0.0079","-0.2285"
"agility_culc_int_se","0.1393","0.1695","0.1905","0.1386","0.1673","0.2071","0.0948","0.2779","0.1824"
"agility_culc_int_t","-0.5014"," 1.5288"," 0.1656"," 1.9232"," 2.1796"," 1.3678","-0.1545"," 0.0284","-1.2530"
"agility_culc_int_sig"," "," "," ","+","*"," "," "," "," "
"var_firm","0.7700508","0.7628074","0.7733658","0.7594706","0.7575416","0.7659974","0.7718385","0.7725510","0.7657108"
"var_intercept","0.03223034","0.03610460","0.06136124","0.03214423","0.05374816","0.04171434","0.04111871","0.06030129","0.04769347"
"var_culc","0.20744647","0.20970245","0.26147406","0.32104775","0.30049942","0.13341895","0.05789641","0.46495156","0.36323392"
"cov_int_culc"," 0.010282581"," 0.015889110","-0.007073793"," 0.017791746"," 0.041236240"," 0.025779748"," 0.004269415","-0.095447134","-0.075193487"
"deviance","659.1076","655.1422","660.5949","656.1125","656.2591","654.6204","658.9128","659.3618","657.3900"
"para_count","11","11","11","11","11","11","11","11","11"
"sigularity","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"convWarning","0","0","0","0","0","0","0","0","0"
"aic","681.1076","677.1422","682.5949","678.1125","678.2591","676.6204","680.9128","681.3618","679.3900"
"bic","719.8437","715.8782","721.3310","716.8486","716.9952","715.3564","719.6489","720.0979","718.1261"
"group_count","15","15","15","15","15","15","15","15","15"
"firm_count","250","250","250","250","250","250","250","250","250"
